,user,text,favorite_count,retweet_count,created_at
86,SudhanshuTrived,From 9.05 to 9.45 pm I’m @IndiaToday TV,162,20,2023-04-05 15:27:39+00:00
87,SudhanshuTrived,From 8.05 to 8.50 pm I’m @TNNavbharat,165,24,2023-04-05 14:33:01+00:00
88,SudhanshuTrived,"कुछ लोग कहते है कि हिंदुत्व शब्द केवल सौ वर्ष पुराना है जो वीर सावरकर ने दिया,उन्हें भारत के इतिहास की जानकारी नहीं है,वो महाराष्ट्र से समझे कि छत्रपति शिवाजी महाराज के नेतृत्व में हिंदवी स्वराज व हिन्दू पद पादशाही उस समय हिदुत्व का ही प्रतीक था जिसमें राम नाम सदा जिह्वा पर था https://t.co/ADzSvDx8T0",6722,1785,2023-04-05 14:00:45+00:00
89,SudhanshuTrived,From 7.05 to 7.50 pm I’m @News18India,142,20,2023-04-05 13:31:15+00:00
90,SudhanshuTrived,From 6.05 to 6.50 pm I’m @aajtak,203,30,2023-04-05 12:26:49+00:00
91,SudhanshuTrived,"भारत की प्रगति का सूत्रधार, जय जवान,जय किसान,जय विज्ञान और जय अनुसंधान

आज का भारत उच्च स्तर पर रक्षा निर्यात, PM किसान योजना से अन्नदाताओं का सशक्तिकरण, इसरो की अनेक सफलताएँ,स्वदेशी वैक्सीन निर्माण से सही अर्थों में इस नारे को चरितार्थ कर रहा है। @narendramodi ⁦@BJP4India⁩ https://t.co/EOJwo3M6d3",2453,662,2023-04-05 10:09:31+00:00
92,SudhanshuTrived,Today got the guidance of our National President Sri @JPNadda ji in Parliamentary Party meeting on nuances of Social Media https://t.co/3D89bJHZQQ,1524,171,2023-04-05 10:08:27+00:00
93,SudhanshuTrived,आज नागपुर में वरिष्ठ BJP नेता व केंद्रीय मंत्री श्री @nitin_gadkari जी व महाराष्ट्र के उप मुख्यमंत्री श्री @Dev_Fadnavis जी व @BJP4Maharashtra के अन्य गणमान्य नेताओं के साथ #SavarkarGauravYatra में सहभागिता व उपस्थित जन समूह को संबोधित करने का अवसर प्राप्त हुआ https://t.co/orVWa6fXh3,3454,486,2023-04-04 18:36:39+00:00
94,SudhanshuTrived,"वंचितों और पिछड़ो का सशक्तिकरण सरकार की प्रथम प्राथमिकता। 

नौकरियों में आरक्षण से लेकर, करोड़ों लोगों का मुफ़्त इलाज, मुद्रा योजना से ऋण, डीबीटी से सीधे लाभार्थियों की मदद तक PM श्री @narendramodi जी के नेतृत्व में सरकार वंचितों का आर्थिक और सामाजिक विकास सुनिश्चित कर रही है। https://t.co/N77su4tGkU",1298,273,2023-04-04 11:11:15+00:00
95,SudhanshuTrived,"PM ⁦@narendramodi⁩ जी ने आज CBI से भ्रष्टाचारियों के लिए कहा कि वो ताक़तवर लोग है, ये अक्षरशः सत्य है,चारा घोटाले में लालू जी ने विधानसभा से अवमानना का प्रस्ताव CBI के अधिकारी के ख़िलाफ़ करवा दिया था॥आज भी सूरत कोर्ट में माफ़ी की बजाय ताक़त का प्रदर्शन इसी सोच को दर्शाता है https://t.co/rPFMwH2fp8",3714,979,2023-04-03 17:19:07+00:00
96,SudhanshuTrived,"“CBI के आप लोग जिनके खिलाफ एक्शन ले रहे हैं वे बेहद ताकतवर लोग हैं, बरसों तक सरकार और सिस्टम का हिस्सा रहे हैं। आपको अपने काम पर फोकस रखना है कोई भी भ्रष्टाचारी बचना नहीं चाहिए”

CBI के डायमंड जुबली कार्यक्रम में अपने संबोधन में PM श्री @narendramodi जी https://t.co/9FoihQ6S4s",4489,1050,2023-04-03 17:04:55+00:00
